episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5786,442937.0000,76.5532,64.0000,31.4221,190158.2900,32.8652,19.8200,33.0383,12564110.1957,21201.0000,3.6642,5786,1931358731.9408,616012629.4534,792285.1787,26.0897,89.5997,4.4533,71.4176,122.9816,32.4949,5036.0000,651.0000,99.0000,6997,5902,0.8435,2,4902.8250,17.7142,13.2998,5527.5000,16.6542,13.2879,5510.5750,14.1157,16.6113,16.0806,480.0000
1,43,4000,1800,100,0.8452,5547,298875.0000,53.8805,52.0000,10.7871,72706.3700,13.1073,10.0500,10.5981,1575909.4235,2379.0000,0.4289,5547,1503303181.6888,479480763.7010,607090.9726,10.5670,20.3940,3.2142,55.1391,52.0809,31.2020,3940.0000,1508.0000,99.0000,5897,5627,0.9542,1,3815.0750,8.9514,15.5834,5269.5750,14.3802,13.3452,5265.3000,12.8152,17.0728,7.3317,0.0000
2,44,5000,1800,500,0.6896,6090,423755.0000,69.5821,61.0000,29.8004,166564.8600,27.3506,16.0300,30.1865,10104073.0772,22399.0000,3.6780,6090,1900615303.1457,606206720.0395,778280.3992,22.6519,67.0980,4.7666,67.9937,99.9775,33.0667,4752.0000,843.0000,495.0000,7297,6222,0.8527,1,4607.9250,16.6841,13.8063,5448.1500,16.9862,13.5270,5406.5500,13.4649,16.8885,14.3106,667.0000
3,45,5500,1900,100,0.6224,5825,446072.0000,76.5789,64.0000,29.5493,191131.5100,32.8123,19.3400,31.2281,11951002.1543,20485.0000,3.5167,5825,1944607720.2566,620238407.0254,797481.7052,26.0565,89.1370,4.2941,71.4412,122.8556,32.0101,5068.0000,658.0000,99.0000,7496,5962,0.7954,4,4915.1250,18.9865,13.0862,5572.9250,16.7049,13.2590,5533.5500,14.1393,16.5513,16.1103,218.0000
4,46,4000,1500,100,0.8186,5515,272287.0000,49.3721,50.0000,7.7599,48771.8800,8.8435,8.0800,4.9395,565849.6050,33.0000,0.0060,5515,1427226622.7661,455215338.6269,572891.0452,8.2898,10.7005,3.1685,52.7652,41.5701,30.7677,3939.0000,1477.0000,99.0000,5595,5594,0.9998,0,3813.1250,8.4965,16.1791,5235.6000,11.9417,14.4581,5227.6250,12.1895,17.6350,5.1239,0.0000
5,47,4000,1600,100,0.9563,5533,291950.0000,52.7652,51.0000,10.2404,65735.9000,11.8807,9.3400,9.6931,1300752.4942,1848.0000,0.3340,5533,1476347651.6201,470883154.8629,594578.8985,9.7458,18.0852,3.1282,54.3686,49.9906,30.8687,3939.0000,1495.0000,99.0000,5697,5613,0.9853,2,3819.1000,8.9681,15.8498,5266.6750,13.8194,13.9743,5257.4750,12.5916,17.2681,7.1294,0.0000
6,48,6500,2000,100,0.6463,5795,458158.0000,79.0609,63.0000,35.4048,205127.5100,35.3973,18.8500,36.9064,15152852.1069,26232.0000,4.5267,5795,1952068475.1581,622618897.5374,801576.7414,28.3057,94.7257,4.6428,73.6164,128.1453,32.0909,5042.0000,654.0000,99.0000,8595,5914,0.6881,2,4898.8500,18.6494,13.1301,5551.7000,16.9430,13.1272,5520.4250,13.9869,16.6248,16.5200,735.0000
7,49,5000,1900,300,0.5042,5934,432360.0000,72.8615,63.0000,27.9403,177922.3600,29.9835,18.3150,28.9246,10298500.7682,20877.0000,3.5182,5934,1914240383.8700,610552571.6663,784601.5188,24.5120,73.5607,4.6869,69.8523,106.8069,32.6734,4855.0000,782.0000,297.0000,7196,6087,0.8459,2,4725.4750,18.0817,13.2811,5478.0500,16.8304,13.3709,5437.5500,13.6377,16.6690,14.7972,332.0000
8,50,6000,1500,100,0.8188,5839,425735.0000,72.9123,61.0000,28.7190,172415.4400,29.5282,16.8100,30.4406,10500776.8662,21136.0000,3.6198,5839,1901682514.8414,606547096.0172,778476.9134,22.6992,81.9291,4.2824,67.8278,114.9261,32.7879,5036.0000,704.0000,99.0000,7595,5981,0.7875,6,4891.3750,17.8701,13.6616,5577.8000,16.8664,13.4087,5541.5250,13.9472,17.0563,15.6006,417.0000
9,51,6500,1900,300,0.6263,5934,424460.0000,71.5302,62.0000,27.8035,170403.9600,28.7165,17.5850,28.6475,9762505.0320,18739.0000,3.1579,5934,1892935870.8991,603757202.9035,775034.3642,23.3526,70.6384,4.5864,68.5823,104.0632,32.9832,4846.0000,791.0000,297.0000,8697,6058,0.6966,1,4709.7500,17.6268,13.3464,5480.5500,16.5439,13.2258,5438.4000,13.7391,16.8827,14.5900,378.0000
