episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5544,606478.0000,109.3936,84.0000,63.7104,370361.8900,66.8041,46.8350,62.5507,46429169.2545,30591.0000,5.5179,5544,2159803217.7125,688882124.2882,902193.4208,72.3271,51.2453,10.4823,117.9064,83.9716,39.4949,4283.0000,1162.0000,99.0000,6997,5731,0.8191,0,4184.0750,25.6092,11.1735,5282.9500,23.3557,12.0518,5252.5250,13.5264,16.0961,9.8561,0.0000
1,43,4000,1800,100,0.8452,5473,321721.0000,58.7833,55.0000,15.1731,97894.7100,17.8868,12.5300,15.4916,3064252.2535,6827.0000,1.2474,5473,1549779675.9596,494305471.7597,628919.5895,14.4466,28.3276,3.1474,58.9733,60.1454,31.4545,3937.0000,1437.0000,99.0000,5897,5557,0.9423,0,3821.1750,11.2785,14.6419,5198.2750,17.6938,12.8691,5187.5500,12.8380,16.8941,7.3914,0.0000
2,44,5000,1800,500,0.6896,5960,592491.0000,99.4112,76.0000,59.9706,345231.9800,57.9248,38.2650,58.0212,40058258.1712,24813.0000,4.1633,5960,2160146554.7570,688990754.6556,899643.5918,66.1093,49.2316,7.7145,111.5494,81.8891,36.0142,4285.0000,1181.0000,494.0000,7297,6147,0.8424,0,4186.1000,25.6729,11.2690,5293.0750,23.1251,12.1390,5300.4750,13.4293,16.3415,9.9906,0.0000
3,45,5500,1900,100,0.6224,5599,601638.0000,107.4545,84.0000,64.6737,362607.9800,64.7630,45.2700,63.8813,46327993.5452,31196.0000,5.5717,5599,2162437151.1189,689722060.8656,902415.7334,68.4954,55.0203,12.0285,114.0804,87.8468,40.3737,4364.0000,1136.0000,99.0000,7496,5775,0.7704,0,4255.0500,25.7573,11.3119,5322.4250,22.8331,12.5682,5318.5500,13.3137,16.7019,10.6428,1.0000
4,46,4000,1500,100,0.8186,5515,272287.0000,49.3721,50.0000,7.7599,48771.8800,8.8435,8.0800,4.9395,565849.6050,33.0000,0.0060,5515,1427226622.7661,455215338.6269,572891.0452,8.2898,10.7005,3.1685,52.7652,41.5701,30.7677,3939.0000,1477.0000,99.0000,5595,5594,0.9998,0,3813.1250,8.4965,16.1791,5235.6000,11.9417,14.4581,5227.6250,12.1895,17.6350,5.1239,0.0000
5,47,4000,1600,100,0.9563,5411,332799.0000,61.5042,55.0000,17.9946,110306.7700,20.3857,12.8500,18.1735,4035468.6573,10520.0000,1.9442,5411,1570865597.4447,501031583.4829,638957.5307,16.4451,32.9116,2.9558,61.0252,65.1047,30.5051,3936.0000,1376.0000,99.0000,5697,5500,0.9654,0,3829.7500,12.4826,14.5188,5143.5500,19.5350,12.5878,5118.6000,12.6872,16.8380,7.9739,0.0000
6,48,6500,2000,100,0.6463,5572,604552.0000,108.4982,88.0000,64.8690,366972.9200,65.8602,50.2600,64.0991,47058466.2618,36651.0000,6.5777,5572,2171427774.3580,692589999.6956,906981.1359,68.7619,59.3681,10.6768,114.2557,92.0667,38.7677,4364.0000,1109.0000,99.0000,8595,5748,0.6688,0,4245.3500,25.1892,11.2021,5313.3750,22.9233,12.3570,5298.4500,13.5540,16.4709,10.6658,1.0000
7,49,5000,1900,300,0.5042,5743,589862.0000,102.7097,83.0000,61.1452,348060.5000,60.6060,45.1500,59.8219,41643264.8086,28437.0000,4.9516,5743,2143329060.3185,683627068.5445,893304.8709,65.8748,54.3790,8.3131,111.4227,87.0978,36.7205,4301.0000,1145.0000,297.0000,7196,5922,0.8230,0,4201.8500,25.2709,11.1044,5291.4500,21.2905,12.1686,5260.4000,13.2975,16.3938,10.5319,0.0000
8,50,6000,1500,100,0.8188,5619,603676.0000,107.4348,83.0000,66.9653,364799.4900,64.9225,44.3600,66.0820,48216573.4351,34628.0000,6.1627,5619,2175133381.6814,693771792.0332,908375.6141,68.8010,54.7069,10.5150,114.2016,87.2840,39.6122,4380.0000,1141.0000,98.0000,7595,5787,0.7619,0,4270.6500,26.0856,11.4020,5378.2750,22.8523,12.4430,5348.5500,13.4419,16.7427,10.2569,0.0000
9,51,6500,1900,300,0.6263,5760,606650.0000,105.3212,85.0000,60.5799,364469.8700,63.2760,47.3600,59.0833,43165912.5739,28344.0000,4.9208,5760,2178685871.6105,694904529.7570,909262.7347,69.4275,54.1401,8.9095,114.8907,86.7949,37.4493,4318.0000,1146.0000,296.0000,8697,5929,0.6817,0,4204.4750,25.3255,10.9425,5306.4500,22.0659,12.3427,5282.5500,13.4019,16.4919,10.5775,7.0000
