episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5908,381488.0000,64.5714,59.0000,19.6536,123532.1100,20.9093,13.6700,22.4172,5551410.2479,16351.0000,2.7676,5908,1819146292.1639,580220560.2293,739618.7983,13.9228,72.4969,3.7817,59.3079,106.0886,32.5200,5086.0000,722.0000,100.0000,6999,6010,0.8587,9,4979.0000,13.6702,16.3454,5676.0000,13.5705,13.8536,5662.0000,13.6973,17.5412,15.3536,80.0000
1,43,4000,1800,100,0.8452,5426,278405.0000,51.3094,51.0000,6.3662,55310.5900,10.1936,8.8200,6.2619,776539.7299,316.0000,0.0582,5426,1442757660.9811,460169266.7369,580099.5837,7.9992,16.9912,2.9779,52.4970,49.4159,30.5800,3946.0000,1380.0000,100.0000,5902,5500,0.9319,8,3869.0000,8.5822,15.5341,5190.0000,11.3602,15.1737,5180.0000,11.9042,18.0676,8.0303,0.0000
2,44,5000,1800,500,0.6896,6191,375121.0000,60.5913,58.0000,16.4441,113186.8100,18.2825,12.7800,17.8766,4047500.7671,11496.0000,1.8569,6191,1797584209.8213,573342869.7805,729939.5770,13.1029,56.4786,4.5571,58.4168,89.7503,32.6835,4858.0000,837.0000,496.0000,7303,6291,0.8614,8,4762.0000,12.1926,15.7189,5579.0000,13.1517,14.4224,5556.0000,13.3313,17.6423,13.9753,40.0000
3,45,5500,1900,100,0.6224,5937,379580.0000,63.9346,59.0000,17.2793,120960.5400,20.3740,13.8300,20.0808,4858078.0048,13351.0000,2.2488,5937,1817017018.9855,579541201.9580,738533.7410,13.8574,65.8437,4.0953,59.2121,99.4928,32.2500,5074.0000,763.0000,100.0000,7498,6044,0.8061,4,4972.0000,13.3173,15.7615,5723.0000,13.9046,15.3133,5698.0000,13.7592,17.1462,14.7975,0.0000
4,46,4000,1500,100,0.8186,5414,279080.0000,51.5478,52.0000,6.2030,56227.2600,10.3855,9.1100,6.2592,796014.9490,356.0000,0.0658,5414,1437740371.1727,458568990.5648,577944.2509,8.2523,17.1024,3.1206,52.8200,49.3822,30.8000,3951.0000,1363.0000,100.0000,5601,5484,0.9791,11,3863.0000,8.6426,18.2158,5180.0000,11.5220,13.8399,5175.0000,11.9322,18.3985,7.8897,0.0000
5,47,4000,1600,100,0.9563,5409,278734.0000,51.5315,51.0000,6.6775,55739.1700,10.3049,8.7500,6.8984,831742.2603,572.0000,0.1057,5409,1435705268.8562,457919951.3438,577039.6774,7.9750,17.6231,3.1721,52.5598,50.0147,31.4500,3953.0000,1356.0000,100.0000,5702,5477,0.9605,2,3858.0000,8.6766,16.8834,5186.0000,11.4255,14.7936,5158.0000,11.7677,18.8963,8.0953,0.0000
6,48,6500,2000,100,0.6463,5903,384197.0000,65.0850,59.0000,20.1338,127006.4200,21.5156,13.9800,22.8857,5823815.3090,16605.0000,2.8130,5903,1827043864.7833,582739567.9614,743288.6550,14.4099,74.6351,3.8506,59.6728,108.2199,32.5300,5089.0000,714.0000,100.0000,8600,6007,0.6985,2,4995.0000,13.5412,15.4444,5673.0000,14.0451,13.2908,5671.0000,13.9416,16.5518,15.4303,80.0000
7,49,5000,1900,300,0.5042,6059,368630.0000,60.8401,58.0000,15.2889,109703.7800,18.1059,12.4500,17.2931,3797942.0602,10536.0000,1.7389,6059,1790552844.1247,571100133.0382,726742.5500,12.6386,54.4614,3.9476,57.8861,87.8396,32.1074,4907.0000,854.0000,298.0000,7202,6166,0.8562,7,4802.0000,12.3416,15.4289,5621.0000,13.1197,13.3208,5607.0000,13.4458,17.5964,13.7567,0.0000
8,50,6000,1500,100,0.8188,5954,387431.0000,65.0707,59.0000,19.9021,128515.3600,21.5847,14.1300,22.6283,5822153.9840,16299.0000,2.7375,5954,1845328343.0839,588571357.2213,751177.7577,14.6066,74.6774,4.0758,59.7740,108.1100,32.1616,5146.0000,709.0000,99.0000,7601,6065,0.7979,8,5045.0000,13.9050,15.6563,5730.0000,14.1365,13.5173,5707.0000,13.8884,17.3662,15.4222,0.0000
9,51,6500,1900,300,0.6263,6103,379055.0000,62.1096,58.0000,16.9322,117488.7800,19.2510,13.0700,19.0656,4479842.6112,12492.0000,2.0469,6103,1820517955.2052,580657744.8505,739684.2763,13.3195,62.6032,4.1449,58.5308,96.1494,32.0973,5015.0000,790.0000,298.0000,8701,6203,0.7129,3,4911.0000,12.8317,15.4850,5680.0000,13.6654,14.5613,5665.0000,13.5867,17.2046,14.5764,0.0000
