episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5842,393848.0000,67.4166,61.0000,22.7387,138929.8400,23.7812,15.9700,25.3236,7049667.6340,17569.0000,3.0074,5842,1842519687.5737,587675743.3121,751427.4684,16.2294,83.7372,4.3097,61.4917,117.3189,32.7374,5072.0000,671.0000,99.0000,7000,5966,0.8523,2,4988.0000,14.3659,13.8176,5618.0000,13.9664,13.8184,5609.0000,13.9542,16.8979,16.2408,280.0000
1,43,4000,1800,100,0.8452,5384,279918.0000,51.9907,52.0000,6.9384,57999.2200,10.7725,9.1100,7.1641,901079.5590,657.0000,0.1220,5384,1444809503.6738,460823744.1493,581464.8703,8.4072,18.3194,3.0764,52.9772,50.6039,31.4040,3947.0000,1338.0000,99.0000,5899,5459,0.9254,8,3858.0000,8.6341,16.2646,5152.0000,11.3442,14.4987,5157.0000,11.9118,18.0338,8.1025,0.0000
2,44,5000,1800,500,0.6896,6179,372132.0000,60.2253,58.0000,16.2758,110986.0400,17.9618,12.4800,17.6006,3907330.5500,10467.0000,1.6940,6179,1795239613.5827,572594965.8096,729101.7263,13.0181,53.1400,4.6350,58.3477,86.4312,32.7621,4818.0000,865.0000,496.0000,7300,6273,0.8593,11,4725.0000,12.1344,16.0925,5553.0000,13.0389,13.8271,5527.0000,13.3882,17.2867,13.4644,40.0000
3,45,5500,1900,100,0.6224,5862,391957.0000,66.8640,60.0000,22.5461,135298.1300,23.0805,14.5750,25.1994,6844534.7429,17655.0000,3.0118,5862,1835385886.2255,585400488.5301,747359.0116,15.5817,83.8744,4.3202,60.9694,117.5894,32.5354,5103.0000,660.0000,99.0000,7499,5967,0.7957,2,5000.0000,14.4482,15.1445,5650.0000,14.2986,14.3105,5615.0000,13.8198,17.3681,16.1369,120.0000
4,46,4000,1500,100,0.8186,5381,279568.0000,51.9547,52.0000,6.5131,58011.3800,10.7808,9.1300,6.9345,884114.0908,388.0000,0.0721,5381,1434846270.8421,457645996.9577,577017.8878,8.3171,18.6283,3.0758,52.7998,51.0030,31.1111,3946.0000,1336.0000,99.0000,5598,5454,0.9743,13,3876.0000,8.6675,14.3314,5157.0000,11.4724,14.0881,5156.0000,11.9781,17.3000,8.1503,0.0000
5,47,4000,1600,100,0.9563,5396,280103.0000,51.9094,52.0000,6.5063,57506.0300,10.6572,8.9450,6.9734,875198.0101,472.0000,0.0875,5396,1441280469.1522,459698201.7704,579584.1515,8.1401,18.5810,3.0609,52.7454,51.0519,30.2525,3948.0000,1349.0000,99.0000,5698,5469,0.9598,10,3864.0000,8.5445,15.9900,5168.0000,11.5245,14.9868,5163.0000,11.9107,18.7655,8.2267,0.0000
6,48,6500,2000,100,0.6463,5894,387879.0000,65.8091,60.0000,20.4393,130840.6800,22.1990,14.5900,23.2219,6082368.8916,16098.0000,2.7313,5894,1833766572.9679,584883768.1363,746714.6565,14.9450,77.6509,4.0702,60.2335,111.3019,31.6061,5096.0000,699.0000,99.0000,8599,6007,0.6986,3,4996.0000,13.7119,15.9130,5672.0000,13.9565,13.8434,5659.0000,13.9850,16.9323,15.6431,40.0000
7,49,5000,1900,300,0.5042,5982,375358.0000,62.7479,59.0000,18.1288,118562.1300,19.8198,13.3050,20.2083,4792370.8165,12119.0000,2.0259,5982,1799149902.8605,573842419.0423,731460.4069,13.7827,64.2008,4.3580,59.1048,97.5492,32.6409,4912.0000,772.0000,298.0000,7200,6086,0.8453,3,4813.0000,12.7777,13.6179,5573.0000,13.2426,13.3951,5535.0000,13.5081,17.5787,14.6061,0.0000
8,50,6000,1500,100,0.8188,5874,384026.0000,65.3773,59.0000,21.4885,128919.4200,21.9475,13.9600,24.1393,6251685.4972,16599.0000,2.8258,5874,1824879179.2326,582049190.9276,742914.9324,14.7763,75.8744,3.9407,59.9234,109.0750,32.5051,5068.0000,707.0000,99.0000,7599,5982,0.7872,4,4955.0000,13.7337,15.8717,5665.0000,14.0989,13.6198,5627.0000,13.8651,17.1741,15.5014,240.0000
9,51,6500,1900,300,0.6263,6033,381213.0000,63.1880,59.0000,18.1736,122600.4000,20.3216,13.6800,20.1569,4942233.6946,13142.0000,2.1784,6033,1821967729.9998,581120268.3094,741401.2389,14.2438,64.9656,4.3572,59.4701,98.4725,32.5201,4954.0000,781.0000,298.0000,8701,6135,0.7051,10,4841.0000,12.9817,16.5032,5616.0000,13.7578,13.0200,5586.0000,13.5952,17.0095,14.5436,40.0000
10,52,6500,1800,100,0.3492,5840,391687.0000,67.0697,60.0000,22.1817,136631.5600,23.3958,15.5300,24.9335,6826591.8698,16118.0000,2.7599,5840,1836281136.0707,585685900.9875,748304.1327,15.8499,84.0858,4.5837,61.1329,117.6435,33.1837,5080.0000,662.0000,98.0000,8401,5954,0.7087,3,4980.0000,14.0383,13.0207,5600.0000,13.6797,13.3658,5590.0000,13.9576,17.7131,16.1058,80.0000
11,53,6500,1400,100,0.9870,5957,388326.0000,65.1882,59.0000,20.4647,128556.7700,21.5808,14.0900,23.2539,5995025.4825,16950.0000,2.8454,5957,1841084225.0033,587217769.6797,748764.4704,14.3968,77.2813,3.9357,59.6134,111.0488,32.9293,5161.0000,697.0000,99.0000,8001,6070,0.7587,7,5075.0000,14.0198,15.2547,5739.0000,13.8138,14.4676,5710.0000,13.8208,19.2383,15.8503,40.0000
12,54,5500,2000,500,0.7193,6193,373703.0000,60.3428,58.0000,15.1193,111772.8000,18.0482,13.0100,16.4111,3684963.7434,8824.0000,1.4248,6193,1802041211.8604,574764237.9521,731744.9468,13.2815,52.5119,4.7778,58.6295,85.7453,33.0060,4837.0000,860.0000,496.0000,8002,6299,0.7872,5,4756.0000,12.3390,14.6136,5567.0000,12.9257,14.6259,5557.0000,13.4218,17.7771,13.3994,0.0000
13,55,6000,2000,300,0.5398,6003,385056.0000,64.1439,60.0000,19.1099,127555.5600,21.2486,14.5800,21.1802,5402889.7780,13381.0000,2.2291,6003,1824178253.3086,581825415.8312,742553.4381,15.0330,68.9562,4.4941,60.2333,102.4027,32.7879,4956.0000,750.0000,297.0000,8300,6118,0.7371,5,4872.0000,13.2804,13.8922,5588.0000,13.7817,15.2268,5575.0000,13.6834,17.4013,15.1250,80.0000
14,56,5500,1500,300,0.9827,6048,381883.0000,63.1420,59.0000,18.0884,121917.4200,20.1583,13.7700,20.1869,4921867.5160,13044.0000,2.1567,6048,1814196318.5871,578641533.1813,737580.5857,14.0505,65.2046,4.0839,59.3891,98.6974,32.5791,4971.0000,780.0000,297.0000,7299,6163,0.8444,9,4879.0000,12.9191,15.7152,5643.0000,13.3755,13.2238,5611.0000,13.5237,17.1984,14.8542,0.0000
15,57,6500,1400,300,0.5164,5959,379877.0000,63.7484,59.0000,18.6615,123932.1200,20.7975,14.2700,20.7398,5140251.4612,13042.0000,2.1886,5959,1803374769.9013,575190017.2416,733694.3102,14.6310,67.6053,4.4372,59.9721,100.8522,32.4631,4910.0000,751.0000,298.0000,8200,6077,0.7411,6,4809.0000,12.8684,15.5550,5556.0000,13.4694,14.1562,5515.0000,13.5801,17.2392,14.7206,0.0000
16,58,6500,2000,500,0.4206,6130,381003.0000,62.1538,59.0000,17.4331,121695.9700,19.8525,14.0600,18.7469,4569987.9579,10304.0000,1.6809,6130,1804789210.4392,575640972.6957,733952.7747,14.6838,59.0374,5.0188,59.9481,92.3017,33.4838,4814.0000,822.0000,494.0000,8998,6237,0.6932,6,4717.0000,12.5679,13.8051,5502.0000,13.3952,13.6033,5482.0000,13.4339,16.8871,14.1247,0.0000
17,59,6000,1800,500,0.5353,6167,374615.0000,60.7451,59.0000,15.1925,114476.3000,18.5627,13.6900,16.4952,3802698.5734,9124.0000,1.4795,6167,1806005935.3668,576028744.2493,734180.6659,13.8424,53.1524,5.0078,59.0467,86.3192,33.3165,4819.0000,852.0000,496.0000,8303,6276,0.7559,6,4728.0000,12.4347,15.5774,5543.0000,12.7586,14.1977,5528.0000,13.3384,17.1020,13.4506,0.0000
18,60,6500,1900,100,0.3921,5864,392577.0000,66.9470,61.0000,21.2051,136669.7200,23.3066,15.7500,23.9840,6557875.4534,15552.0000,2.6521,5864,1841288156.6045,587282869.2788,750327.9174,16.0305,80.9485,4.3852,61.3275,114.3793,32.4646,5090.0000,675.0000,99.0000,8499,5971,0.7026,2,5003.0000,14.0836,14.0007,5637.0000,14.1498,13.4122,5618.0000,13.9925,17.6116,15.6847,0.0000
19,61,5500,1800,100,0.6292,5900,389269.0000,65.9778,60.0000,20.7556,131252.8500,22.2462,14.5650,23.5146,6181656.1751,15771.0000,2.6731,5900,1845353227.2037,588579352.3750,751291.2654,14.9614,79.2700,4.1434,60.3229,113.1080,32.1010,5116.0000,685.0000,99.0000,7402,6012,0.8122,2,5008.0000,13.8164,15.5128,5686.0000,13.9621,13.8481,5664.0000,13.8672,17.1319,15.8297,40.0000
20,62,5000,2000,500,0.1783,6076,386862.0000,63.6705,60.0000,19.0454,129522.6600,21.3171,15.4650,20.2665,5256237.6752,12147.0000,1.9992,6076,1812998799.2539,578259544.9304,738500.9152,16.1095,63.3209,5.0434,61.4399,96.4313,33.2004,4796.0000,786.0000,494.0000,7504,6184,0.8241,5,4709.0000,13.0247,14.0188,5462.0000,13.2260,12.5640,5441.0000,13.3968,17.7967,14.6139,200.0000
21,63,4500,1900,500,0.6090,6005,335750.0000,55.9117,55.0000,12.3084,87288.8600,14.5360,10.7000,12.7960,2251919.8800,5029.0000,0.8375,6005,1654237553.8051,527621673.3472,669127.0711,10.9600,34.1553,4.0294,55.9680,66.8901,31.6371,4435.0000,1074.0000,496.0000,6899,6094,0.8833,3,4341.0000,10.6261,14.3615,5391.0000,12.4600,13.6861,5373.0000,12.7567,17.3223,11.0261,0.0000
22,64,6000,1700,500,0.6499,6149,376942.0000,61.3013,58.0000,17.1028,116779.2600,18.9916,13.4500,18.4739,4316035.5074,11546.0000,1.8777,6149,1797955889.6154,573461446.0912,730617.5032,13.8090,58.5753,4.5729,59.0769,91.8673,32.7879,4840.0000,814.0000,495.0000,8203,6254,0.7624,4,4737.0000,12.4718,15.2152,5540.0000,13.0295,13.4384,5516.0000,13.3656,17.4641,14.0931,0.0000
23,65,6500,1500,300,0.2688,5963,387791.0000,65.0329,60.0000,20.1853,131085.5100,21.9831,15.1300,22.2552,5834613.8755,14230.0000,2.3864,5963,1826505449.5040,582567700.1742,744217.8049,15.5820,72.5517,4.8418,60.9433,105.9298,33.0842,4940.0000,726.0000,297.0000,8302,6069,0.7310,8,4852.0000,13.3475,15.5694,5548.0000,13.6337,14.2004,5540.0000,13.7293,17.4108,15.3711,80.0000
