episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5785,385304.0000,66.6040,60.0000,24.2717,132284.6600,22.8668,14.6400,26.9527,7226722.0068,19803.0000,3.4232,5785,1821264403.8664,580896443.6790,742119.2705,14.7301,91.2189,4.2195,60.0336,124.7456,32.8182,5057.0000,629.0000,99.0000,7000,5893,0.8419,7,4959.0000,13.5590,15.3355,5578.0000,13.3235,14.4231,5537.0000,13.5226,17.1400,16.6878,320.0000
1,43,4000,1800,100,0.8452,5428,282677.0000,52.0776,52.0000,7.0757,59902.2900,11.0358,9.3800,7.2466,946062.2401,737.0000,0.1358,5428,1447537508.7266,461693875.3296,582418.2164,8.7155,18.2363,2.9298,53.2271,50.2907,31.2222,3946.0000,1383.0000,99.0000,5899,5502,0.9327,12,3856.0000,8.6881,14.8947,5211.0000,11.7416,14.7175,5185.0000,12.1425,18.7756,8.0442,0.0000
2,44,5000,1800,500,0.6896,6028,370947.0000,61.5373,58.0000,18.9002,115041.7700,19.0846,12.7500,20.4815,4723808.1655,15828.0000,2.6257,6028,1774622009.5689,566019259.0263,721399.0679,13.2108,64.8476,4.8506,58.5932,98.1802,33.2379,4766.0000,766.0000,496.0000,7300,6138,0.8408,6,4673.0000,12.1058,15.1795,5410.0000,12.4292,14.4298,5396.0000,13.0774,16.5746,14.6917,0.0000
3,45,5500,1900,100,0.6224,5857,385877.0000,65.8830,60.0000,21.5939,129531.2100,22.1156,14.5100,24.4059,6352792.2159,17192.0000,2.9353,5857,1823782408.6152,581699353.4470,742202.6301,14.5218,83.6402,4.3922,59.8943,117.3495,32.3232,5100.0000,658.0000,99.0000,7499,5971,0.7962,2,5001.0000,13.5725,15.2336,5653.0000,13.2539,13.3722,5609.0000,13.6282,17.3468,16.1594,120.0000
4,46,4000,1500,100,0.8186,5388,280621.0000,52.0826,52.0000,6.8495,58835.6700,10.9198,9.1600,7.2985,929426.4849,1131.0000,0.2099,5388,1445717961.8136,461113526.3809,582218.3373,8.4256,18.8285,3.0462,52.9166,51.2137,30.6263,3946.0000,1343.0000,99.0000,5598,5460,0.9753,10,3860.0000,8.7690,15.6074,5164.0000,11.4462,14.3088,5151.0000,11.9602,17.0405,8.3278,0.0000
5,47,4000,1600,100,0.9563,5388,280448.0000,52.0505,52.0000,6.8637,58194.1600,10.8007,9.0000,7.3671,920910.2782,1124.0000,0.2086,5388,1437567352.8743,458513941.4224,577920.4417,8.2166,18.9956,2.9571,52.8055,51.4269,30.3737,3949.0000,1340.0000,99.0000,5698,5458,0.9579,6,3874.0000,8.7191,15.9281,5178.0000,11.4720,13.9784,5151.0000,11.8752,17.5713,8.3933,0.0000
6,48,6500,2000,100,0.6463,5833,381968.0000,65.4840,59.0000,21.1209,127188.4400,21.8050,14.1400,23.9948,6131111.3034,17510.0000,3.0019,5833,1816048151.6498,579232449.7177,739139.5471,14.3385,80.9279,4.2767,59.6659,114.4738,32.0909,5065.0000,669.0000,99.0000,8599,5938,0.6905,2,4958.0000,13.2294,15.0839,5608.0000,13.2246,14.6254,5611.0000,13.7336,17.2685,15.8736,80.0000
7,49,5000,1900,300,0.5042,5933,375411.0000,63.2751,59.0000,19.9187,120349.7600,20.2848,13.3400,22.0388,5322483.2916,15655.0000,2.6386,5933,1799164505.6569,573847243.4438,732177.8135,13.5409,73.0641,4.5620,58.8414,106.4100,32.5724,4919.0000,717.0000,297.0000,7200,6042,0.8392,3,4826.0000,12.6977,16.0261,5508.0000,12.6862,15.0106,5482.0000,13.2248,17.1129,15.3419,0.0000
8,50,6000,1500,100,0.8188,5827,387424.0000,66.4877,60.0000,23.7740,133255.0800,22.8686,14.8600,26.5584,7156717.6656,20585.0000,3.5327,5827,1833879887.6549,584920115.7007,747291.9411,14.8441,91.2473,4.0378,59.9835,124.8802,32.4545,5102.0000,626.0000,99.0000,7599,5934,0.7809,9,5012.0000,13.6747,15.1239,5606.0000,13.1951,14.9503,5579.0000,13.5252,16.5900,16.6364,320.0000
9,51,6500,1900,300,0.6263,5908,373740.0000,63.2600,58.0000,20.8062,119265.8200,20.1872,12.9300,22.9801,5527043.8858,16031.0000,2.7134,5908,1791615057.2675,571439422.1160,728657.3490,13.1604,77.8360,4.2374,58.4209,111.6281,32.4094,4927.0000,683.0000,298.0000,8701,6009,0.6906,4,4830.0000,12.6521,15.6414,5515.0000,12.5134,14.1625,5465.0000,13.1013,18.2600,15.6825,120.0000
