episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5831,397096.0000,68.1008,61.0000,23.1388,141980.4100,24.3492,15.8500,25.7334,7317779.2711,16774.0000,2.8767,5831,1843937062.1773,588127950.6367,751969.4219,16.8582,85.4744,4.0944,62.1985,119.1573,32.9899,5077.0000,655.0000,99.0000,7000,5949,0.8499,5,4967.0000,14.7186,13.8205,5647.0000,14.5749,13.1218,5603.0000,14.1439,16.0243,16.0647,120.0000
1,43,4000,1800,100,0.8452,5363,278749.0000,51.9763,52.0000,6.1807,57654.8300,10.7505,9.1700,6.7322,862834.3867,299.0000,0.0558,5363,1438963206.1786,458959050.8250,579099.9450,8.2037,18.9181,3.2016,52.7035,51.3543,31.3131,3943.0000,1321.0000,99.0000,5899,5439,0.9220,6,3863.0000,8.6348,16.6243,5123.0000,11.2882,13.9165,5148.0000,11.8929,16.6208,8.3956,0.0000
2,44,5000,1800,500,0.6896,6097,377389.0000,61.8975,58.0000,19.2859,118942.5200,19.5084,12.8100,20.6929,4930666.6988,12890.0000,2.1142,6097,1795276912.0529,572607228.9495,730018.5156,13.7365,63.9021,4.7858,59.0640,97.3076,32.9819,4811.0000,790.0000,496.0000,7300,6200,0.8493,4,4710.0000,12.3317,15.0881,5477.0000,13.1598,14.1932,5471.0000,13.3076,15.4168,14.6078,0.0000
3,45,5500,1900,100,0.6224,5867,397956.0000,67.8296,61.0000,22.2808,141128.5300,24.0546,15.9400,24.8743,7024278.1961,17278.0000,2.9449,5867,1853124632.9059,591058302.1161,755482.6652,16.7145,83.2308,4.2392,62.1105,116.9144,32.3535,5102.0000,666.0000,99.0000,7499,5970,0.7961,2,5007.0000,14.4019,13.1477,5649.0000,14.0131,13.3514,5627.0000,13.9645,16.2120,16.0986,40.0000
4,46,4000,1500,100,0.8186,5354,279744.0000,52.2495,52.0000,6.3959,58724.5300,10.9683,9.2900,7.0839,912735.7103,409.0000,0.0764,5354,1441455869.5969,459754130.3358,580221.4721,8.3648,19.3955,3.2060,52.8710,51.9794,31.0606,3945.0000,1310.0000,99.0000,5598,5432,0.9703,8,3863.0000,8.6744,16.0644,5139.0000,11.4333,15.3293,5138.0000,11.9349,18.1847,8.4656,0.0000
5,47,4000,1600,100,0.9563,5377,278509.0000,51.7964,52.0000,6.2319,56422.4000,10.4933,8.9300,6.7851,839554.3414,558.0000,0.1038,5377,1432702706.9798,456962292.3460,575845.2143,8.0122,18.4237,3.0016,52.6166,50.9609,30.2929,3949.0000,1329.0000,99.0000,5698,5449,0.9563,8,3873.0000,8.6189,17.4210,5152.0000,11.2919,14.5344,5153.0000,11.8222,17.5199,8.2886,0.0000
6,48,6500,2000,100,0.6463,5868,396986.0000,67.6527,61.0000,21.7192,140925.8800,24.0160,15.9400,24.3849,6873141.9460,16970.0000,2.8920,5868,1847165821.1439,589157670.9151,753162.5209,16.7876,81.6250,4.4731,62.0587,115.2897,31.7677,5096.0000,673.0000,99.0000,8599,5976,0.6950,3,4984.0000,14.7086,15.2855,5669.0000,14.5961,12.7099,5645.0000,14.0766,15.9526,15.7789,80.0000
7,49,5000,1900,300,0.5042,5934,378835.0000,63.8414,59.0000,19.9996,123775.2500,20.8587,13.8200,22.0581,5468539.0653,14385.0000,2.4242,5934,1800632482.9838,574315464.1587,733002.2708,14.4752,69.5413,4.6290,59.8004,102.9703,32.8316,4896.0000,741.0000,297.0000,7200,6043,0.8393,3,4797.0000,13.1167,15.2443,5521.0000,13.1620,14.7862,5496.0000,13.3818,17.4547,15.0247,40.0000
8,50,6000,1500,100,0.8188,5882,389034.0000,66.1397,60.0000,20.4765,133695.4100,22.7296,14.9650,23.0919,6174813.7515,16060.0000,2.7304,5882,1837827734.6459,586179149.2389,748802.5137,15.8589,74.5161,3.9933,60.9578,107.8519,33.0000,5074.0000,709.0000,99.0000,7599,5990,0.7883,2,4975.0000,14.3016,14.7979,5666.0000,14.5143,13.5706,5643.0000,13.8714,16.7920,15.2897,40.0000
9,51,6500,1900,300,0.6263,5962,377428.0000,63.3056,58.0000,19.7178,121380.3500,20.3590,13.0400,21.8144,5307836.7081,13698.0000,2.2976,5962,1796538427.7115,573009698.1992,730554.1054,13.8016,70.7362,4.3770,59.0073,104.4348,32.8054,4928.0000,736.0000,298.0000,8701,6064,0.6969,4,4814.0000,12.8145,15.1277,5546.0000,13.2315,14.9906,5509.0000,13.4699,17.1775,15.1814,0.0000
10,52,6500,1800,100,0.3492,5796,394824.0000,68.1201,61.0000,21.4208,141801.3700,24.4654,16.5100,24.1581,6851270.8037,15546.0000,2.6822,5796,1841391154.8688,587315784.8847,751372.0536,17.1878,82.2106,4.5165,62.4758,115.7889,33.1919,5029.0000,668.0000,99.0000,8401,5921,0.7048,4,4937.0000,14.3790,13.9293,5590.0000,14.2768,13.1930,5545.0000,13.8858,17.8226,15.8611,0.0000
11,53,6500,1400,100,0.9870,5923,393551.0000,66.4445,60.0000,21.2986,135072.6600,22.8048,14.8300,23.9598,6479966.1528,17177.0000,2.9001,5923,1855398743.1672,591783497.4663,756049.2563,15.5508,81.1661,4.1549,60.7706,114.9122,32.7273,5152.0000,672.0000,99.0000,8001,6021,0.7525,6,5034.0000,14.1293,15.2947,5711.0000,14.5114,13.3098,5679.0000,13.9541,17.0848,15.9450,0.0000
12,54,5500,2000,500,0.7193,6092,382608.0000,62.8050,59.0000,19.8495,123836.8400,20.3278,13.7300,21.3061,5282338.3834,14022.0000,2.3017,6092,1815423273.5451,579032968.7141,739009.5147,14.4088,69.1187,4.9325,59.7256,102.5812,33.1774,4851.0000,745.0000,496.0000,8002,6195,0.7742,2,4763.0000,12.6184,15.0737,5476.0000,12.9599,14.9176,5462.0000,13.1826,16.8487,15.1183,0.0000
13,55,6000,2000,300,0.5398,5947,380710.0000,64.0172,59.0000,20.5540,125166.5500,21.0470,13.6500,22.7132,5701850.3667,14429.0000,2.4263,5947,1811455163.6857,577767446.7702,737374.8211,14.3351,75.1653,4.5421,59.5241,108.6420,33.0640,4946.0000,704.0000,297.0000,8300,6049,0.7288,7,4836.0000,13.0414,15.1006,5536.0000,13.3278,14.8301,5518.0000,13.3959,17.6839,15.5586,40.0000
14,56,5500,1500,300,0.9827,5988,385582.0000,64.3925,59.0000,20.5168,127708.7300,21.3274,13.6700,22.5339,5763768.3095,16025.0000,2.6762,5988,1824529274.5328,581937566.3256,742784.4327,14.9032,71.7581,4.2636,60.2433,105.3115,32.7264,4960.0000,732.0000,296.0000,7299,6095,0.8350,9,4864.0000,13.4611,14.2481,5565.0000,13.6815,14.1902,5562.0000,13.3735,17.5035,15.3219,120.0000
15,57,6500,1400,300,0.5164,5932,385306.0000,64.9538,59.0000,21.5233,130086.9100,21.9297,14.4200,23.6129,6159718.4331,15343.0000,2.5865,5932,1816552403.8266,579393316.0610,739844.5201,15.1919,76.7264,4.7346,60.5135,109.8914,32.8215,4935.0000,700.0000,297.0000,8200,6036,0.7361,5,4819.0000,13.2994,14.9945,5530.0000,13.2673,14.0853,5494.0000,13.3466,17.1671,15.6283,120.0000
16,58,6500,2000,500,0.4206,6061,377538.0000,62.2897,59.0000,19.0831,120324.1100,19.8522,13.5000,20.5861,4956858.0235,12635.0000,2.0846,6061,1791129444.6259,571284336.6374,728595.2180,14.0643,66.3822,4.9431,59.3596,99.8547,33.3609,4808.0000,757.0000,496.0000,8998,6173,0.6860,3,4708.0000,12.5897,13.9554,5444.0000,12.9745,14.2994,5417.0000,13.2007,16.4549,14.7367,0.0000
17,59,6000,1800,500,0.5353,6050,381868.0000,63.1187,59.0000,20.4829,125276.4900,20.7069,14.0150,22.0178,5526526.9675,14101.0000,2.3307,6050,1810271169.2562,577389712.9928,737131.9603,14.5784,73.2259,4.8873,59.7854,106.6527,32.9232,4841.0000,714.0000,495.0000,8303,6166,0.7426,4,4734.0000,12.5487,15.5316,5451.0000,12.7543,14.0258,5414.0000,13.0922,17.6361,15.4522,0.0000
18,60,6500,1900,100,0.3921,5858,412822.0000,70.4715,62.0000,24.5342,156828.7600,26.7717,17.6400,27.1261,8508297.5930,17990.0000,3.0710,5858,1883272820.9971,600674411.4104,769333.2882,19.2403,91.6591,4.7725,64.4910,125.1479,32.9798,5130.0000,629.0000,99.0000,8499,5977,0.7033,1,5039.0000,15.6316,14.4014,5657.0000,15.1207,11.6384,5616.0000,14.3780,17.5766,16.4625,160.0000
19,61,5500,1800,100,0.6292,5869,387501.0000,66.0250,60.0000,21.1156,130853.9500,22.2958,14.4500,23.8752,6262404.1239,15583.0000,2.6551,5869,1830732929.6730,583916224.8316,745300.3298,14.8595,80.2666,4.4610,60.2420,113.9488,32.5556,5087.0000,683.0000,99.0000,7402,5977,0.8075,7,4982.0000,13.8915,15.1901,5661.0000,13.6324,14.3673,5626.0000,13.7907,16.9716,15.9222,40.0000
