episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5856,405277.0000,69.2071,62.0000,24.0489,149654.3000,25.5557,16.7400,26.4946,7934516.3572,21476.0000,3.6673,5856,1863211773.5359,594275888.0568,760630.4550,18.0965,84.7375,4.2764,63.3985,118.2278,32.5960,5081.0000,676.0000,99.0000,7000,5982,0.8546,4,4988.0000,15.2621,14.5101,5649.0000,14.8513,12.8391,5609.0000,14.1821,16.6587,16.1172,200.0000
1,43,4000,1800,100,0.8452,5152,279954.0000,54.3389,53.0000,7.9715,65232.4100,12.6616,8.8000,10.4872,1392456.3369,2323.0000,0.4509,5152,1418151973.7861,452321827.5169,571553.4708,8.0682,29.8417,2.9826,52.5582,62.7000,31.5152,3943.0000,1110.0000,99.0000,5899,5230,0.8866,12,3872.0000,8.6606,15.4625,4932.0000,10.4103,13.9422,4917.0000,11.2222,19.2347,10.7767,0.0000
2,44,5000,1800,500,0.6896,6194,384411.0000,62.0618,59.0000,17.9777,123129.4000,19.8788,14.0200,18.9691,4676080.1178,12899.0000,2.0825,6194,1819041593.2390,580186858.4020,739861.7772,15.2122,53.8548,4.7728,60.4998,86.8719,33.1109,4816.0000,882.0000,496.0000,7300,6292,0.8619,6,4711.0000,12.9110,15.5539,5571.0000,14.1065,13.1983,5568.0000,13.7254,16.8573,13.5475,40.0000
3,45,5500,1900,100,0.6224,5841,408218.0000,69.8884,61.0000,24.6841,152605.4400,26.1266,16.3100,27.1233,8283385.7672,23084.0000,3.9521,5841,1875113078.9622,598072025.6342,765994.5134,18.6807,86.8407,4.2770,64.0708,120.3642,32.5859,5083.0000,659.0000,99.0000,7499,5956,0.7942,2,4982.0000,15.7078,13.5161,5620.0000,14.8808,14.0839,5598.0000,13.9711,17.4594,16.3786,160.0000
4,46,4000,1500,100,0.8186,5139,279826.0000,54.4514,53.0000,8.1631,65576.3100,12.7605,8.8200,10.6704,1421786.5819,2149.0000,0.4182,5139,1418896409.4626,452559272.6809,571964.4383,8.1389,30.3078,3.2882,52.6093,63.1967,31.3434,3947.0000,1093.0000,99.0000,5598,5211,0.9309,10,3869.0000,8.6383,15.5537,4908.0000,10.3655,13.8250,4906.0000,11.2603,16.0736,10.7008,0.0000
5,47,4000,1600,100,0.9563,5164,278611.0000,53.9526,53.0000,7.7451,63270.3900,12.2522,8.2600,10.2041,1312794.8779,2253.0000,0.4363,5164,1410323544.1567,449824941.2673,567641.7325,7.8148,28.7926,3.0130,52.3610,61.6619,30.6263,3950.0000,1115.0000,99.0000,5698,5232,0.9182,10,3862.0000,8.5006,16.4787,4954.0000,10.3700,15.0158,4937.0000,11.3136,17.7325,10.4764,0.0000
6,48,6500,2000,100,0.6463,5857,410298.0000,70.0526,61.0000,24.2755,154927.2700,26.4516,16.5400,26.5426,8223677.7571,22116.0000,3.7760,5857,1873608651.4476,597592208.1918,765335.4525,19.2591,82.6330,4.3635,64.5493,116.0756,32.0505,5070.0000,688.0000,99.0000,8599,5994,0.6971,5,4980.0000,16.1507,13.2575,5636.0000,15.5484,13.5333,5620.0000,14.1430,16.5917,16.0592,240.0000
7,49,5000,1900,300,0.5042,5990,383579.0000,64.0366,59.0000,19.0517,126709.5800,21.1535,14.3450,20.9626,5312110.2858,15450.0000,2.5793,5990,1820262663.6288,580576519.9021,741300.5025,15.1470,64.3973,4.7885,60.4682,97.6482,33.1650,4900.0000,793.0000,297.0000,7200,6094,0.8464,4,4794.0000,12.9426,15.1025,5567.0000,13.8953,13.9109,5557.0000,13.7354,17.6209,14.6250,40.0000
8,50,6000,1500,100,0.8188,5892,401880.0000,68.2077,61.0000,22.6530,145761.8300,24.7389,16.0500,25.1309,7326537.5361,21680.0000,3.6796,5892,1873084852.4193,597424769.6214,764517.1178,17.6370,80.3340,3.9663,62.7766,113.5428,32.6970,5104.0000,689.0000,99.0000,7599,6006,0.7904,6,5004.0000,14.9890,15.0056,5672.0000,15.1510,14.0267,5649.0000,13.9243,17.1411,15.9378,120.0000
9,51,6500,1900,300,0.6263,6001,395929.0000,65.9772,59.0000,23.1073,138475.5400,23.0754,14.6000,24.6053,6827907.8612,19862.0000,3.3098,6001,1848724186.9133,589654908.3916,753967.2334,16.9006,71.1395,4.3749,62.1105,104.6290,32.6812,4951.0000,752.0000,298.0000,8701,6112,0.7024,7,4856.0000,14.7418,14.0324,5573.0000,14.5727,14.1154,5561.0000,13.6964,18.3363,15.2783,240.0000
