episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5542,573107.0000,103.4116,85.0000,53.3796,334823.0900,60.4156,46.8250,52.4159,35452040.5473,29019.0000,5.2362,5542,2108402275.8438,672486046.1855,877801.0059,63.3078,52.6313,9.3528,108.8573,85.6673,38.4848,4442.0000,1001.0000,99.0000,7000,5708,0.8154,4,4384.0000,25.0534,10.2994,5339.0000,21.7520,12.6980,5308.0000,13.6808,16.1935,11.9553,0.0000
1,43,4000,1800,100,0.8452,4805,283907.0000,59.0857,53.0000,19.9650,80162.7300,16.6832,7.9400,22.9787,3873981.3049,16691.0000,3.4737,4805,1397220254.4184,445646868.8667,565324.3326,7.7938,64.5249,3.1612,52.3146,97.7635,31.5960,3945.0000,761.0000,99.0000,5899,4882,0.8276,2,3867.0000,8.6391,17.4379,4618.0000,9.3438,14.2314,4582.0000,10.3106,16.3428,15.0008,0.0000
2,44,5000,1800,500,0.6896,6051,518012.0000,85.6077,69.0000,46.7417,264535.7600,43.7177,25.1500,45.4596,24067685.4592,28087.0000,4.6417,6051,2056771638.6418,656016206.1770,850929.2737,46.2390,50.7991,5.9768,91.6430,83.6299,34.1964,4541.0000,1016.0000,494.0000,7300,6213,0.8511,3,4477.0000,23.3009,12.8392,5446.0000,21.4995,11.8228,5423.0000,13.6930,16.4163,11.7478,0.0000
3,45,5500,1900,100,0.6224,5633,564176.0000,100.1555,83.0000,54.7833,321887.2800,57.1431,43.1300,54.0699,34859087.7998,30063.0000,5.3369,5633,2106337833.4151,671827319.9309,875593.7663,59.0458,53.2969,9.2607,104.6530,86.0804,37.6667,4527.0000,1007.0000,99.0000,7499,5793,0.7725,0,4463.0000,24.7594,11.5480,5427.0000,22.0391,12.8798,5409.0000,13.6437,16.7761,12.0089,0.0000
4,46,4000,1500,100,0.8186,4811,282193.0000,58.6558,53.0000,18.9144,78311.7400,16.2776,7.8900,21.9152,3584861.6074,15508.0000,3.2234,4811,1392194104.0892,444043678.7625,563091.2461,7.8113,61.4696,2.9812,52.3281,94.7539,30.7071,3944.0000,768.0000,99.0000,5598,4886,0.8728,3,3870.0000,8.5775,16.3582,4617.0000,9.3638,12.6907,4575.0000,10.3508,16.8440,14.4778,0.0000
5,47,4000,1600,100,0.9563,4820,281978.0000,58.5017,53.0000,19.0801,77257.7900,16.0286,7.5650,22.0678,3585133.4493,15626.0000,3.2419,4820,1384572485.6228,441612781.3283,559272.1502,7.4905,61.2977,3.0529,52.1234,94.6106,30.9192,3948.0000,773.0000,99.0000,5698,4891,0.8584,5,3868.0000,8.5277,16.0817,4643.0000,9.4221,14.0927,4599.0000,10.4008,17.1110,14.5625,0.0000
6,48,6500,2000,100,0.6463,5617,572863.0000,101.9874,85.0000,53.7688,331849.7000,59.0795,46.2900,52.8619,35298776.9524,30975.0000,5.5145,5617,2114010642.2497,674274751.4484,879320.9704,60.8852,55.7706,9.9428,106.3760,88.4804,37.5960,4521.0000,997.0000,99.0000,8599,5784,0.6726,2,4469.0000,24.6256,11.4971,5404.0000,22.0141,12.9673,5384.0000,13.6946,17.1284,12.2547,0.0000
7,49,5000,1900,300,0.5042,5814,529510.0000,91.0750,79.0000,45.8207,281919.6800,48.4898,36.1400,45.0986,25493212.1874,32847.0000,5.6496,5814,2065928439.1316,658937289.6344,855899.7695,48.6538,61.1198,6.6602,94.0995,94.0260,35.1212,4593.0000,924.0000,297.0000,7200,5970,0.8292,9,4522.0000,22.9531,10.8642,5428.0000,20.8936,13.1172,5383.0000,13.6843,16.8412,12.9000,0.0000
8,50,6000,1500,100,0.8188,5713,550002.0000,96.2720,78.0000,51.6607,305343.0800,53.4471,37.3200,51.1910,31288081.2354,33195.0000,5.8104,5713,2096374415.6508,668648967.3112,870235.2806,54.1194,54.9065,6.9246,99.4074,87.6616,36.0000,4619.0000,996.0000,98.0000,7599,5891,0.7752,2,4559.0000,24.2951,12.7948,5538.0000,19.8417,12.6377,5486.0000,13.7956,16.0519,12.0989,0.0000
9,51,6500,1900,300,0.6263,5833,552168.0000,94.6628,79.0000,49.9224,304923.1600,52.2755,40.2800,48.9331,29904443.7688,32086.0000,5.5008,5833,2105554666.0616,671576987.0418,874114.9454,54.6010,55.1885,6.9573,99.9705,88.2056,35.2222,4539.0000,997.0000,297.0000,8701,5995,0.6890,5,4451.0000,23.9848,12.9801,5436.0000,22.2960,12.1306,5412.0000,13.7998,16.2460,12.3783,0.0000
