episode_id,seed,main_flow_vph,on_ramp_flow_vph,off_ramp_flow_vph,con_penetration_rate,total_throughput,total_travel_time,avg_travel_time,median_travel_time,std_dev_travel_time,total_time_loss,avg_time_loss,median_time_loss,std_dev_time_loss,sum_of_squared_time_loss,total_waiting_time,avg_waiting_time,num_teleported_tripinfo,total_co2_mg,total_fuel_ml,total_nox_mg,Mainline_avg_time_loss,On-Ramp_avg_time_loss,Off-Ramp_avg_time_loss,Mainline_avg_travel_time,On-Ramp_avg_travel_time,Off-Ramp_avg_travel_time,Mainline_throughput,On-Ramp_throughput,Off-Ramp_throughput,demand_loaded,demand_inserted,service_rate,num_emergency_stops,avg_mainline_flow_upstream_v/h,avg_mainline_occ_upstream_percent,avg_mainline_speed_upstream_km/h,avg_mainline_flow_mergeArea_v/h,avg_mainline_occ_mergeArea_percent,avg_mainline_speed_mergeArea_km/h,avg_mainline_flow_downstream_v/h,avg_mainline_occ_downstream_percent,avg_mainline_speed_downstream_km/h,avg_ramp_queue_veh,total_spillback_time_sec
0,42,5500,1400,100,0.5052,5765,455905.0000,79.0815,67.0000,32.8650,204760.1600,35.5178,22.5700,34.2779,14045175.0142,25687.0000,4.4557,5765,1954104801.1200,623268140.9273,803231.8555,29.1344,85.1339,4.9007,74.4952,118.1129,33.1616,4966.0000,700.0000,99.0000,6997,5916,0.8455,7,4824.3750,19.5429,12.6705,5509.5750,16.9406,13.1752,5490.4750,13.9780,16.8846,15.5917,891.0000
1,43,4000,1800,100,0.8452,5578,292768.0000,52.4862,52.0000,8.8779,65673.2600,11.7736,9.6900,8.4545,1171848.1286,953.0000,0.1708,5578,1487019676.7224,474286871.2903,599331.5789,9.5869,17.9111,3.3057,54.1307,49.6201,31.6364,3939.0000,1540.0000,99.0000,5897,5660,0.9598,0,3819.1750,8.6809,15.8744,5305.8000,13.5505,13.7141,5284.5750,12.7404,17.3047,6.9675,0.0000
2,44,5000,1800,500,0.6896,6107,433747.0000,71.0246,61.0000,32.0480,175971.5400,28.8147,16.6100,32.3860,11474884.8380,27143.0000,4.4446,6107,1925039158.9145,613997194.4994,789068.8761,24.2068,68.6634,5.0374,69.5454,101.4220,33.2409,4767.0000,846.0000,494.0000,7297,6241,0.8553,3,4628.2750,17.0577,13.7852,5444.2250,16.6886,13.4404,5418.5500,13.3341,17.2532,14.3419,753.0000
3,45,5500,1900,100,0.6224,5805,470965.0000,81.1309,67.0000,35.0140,217393.4800,37.4494,22.4100,36.3931,15828394.3806,25952.0000,4.4706,5805,1990351583.0177,634829553.7436,819063.4223,31.0996,87.7398,5.2262,76.5076,121.1739,33.5859,5010.0000,696.0000,99.0000,7496,5921,0.7899,4,4867.0750,19.4907,13.1216,5552.2500,16.7971,13.2556,5508.5500,13.9917,16.7411,15.8622,868.0000
4,46,4000,1500,100,0.8186,5515,272287.0000,49.3721,50.0000,7.7599,48771.8800,8.8435,8.0800,4.9395,565849.6050,33.0000,0.0060,5515,1427226622.7661,455215338.6269,572891.0452,8.2898,10.7005,3.1685,52.7652,41.5701,30.7677,3939.0000,1477.0000,99.0000,5595,5594,0.9998,0,3813.1250,8.4965,16.1791,5235.6000,11.9417,14.4581,5227.6250,12.1895,17.6350,5.1239,0.0000
5,47,4000,1600,100,0.9563,5429,297917.0000,54.8751,52.0000,14.5021,75269.0500,13.8643,9.6000,14.7713,2227889.6201,6042.0000,1.1129,5429,1482937064.5290,472985344.3359,598865.4896,10.5167,24.0020,2.9808,55.0718,56.0649,30.2121,3927.0000,1403.0000,99.0000,5697,5525,0.9698,1,3810.1250,8.9061,15.6844,5184.1750,14.6302,13.6432,5163.4000,12.4574,16.9825,8.4056,126.0000
6,48,6500,2000,100,0.6463,5758,455006.0000,79.0215,66.0000,34.8792,204399.6000,35.4984,21.2200,36.4061,14886202.5538,32328.0000,5.6144,5758,1955937964.2922,623853299.0706,804318.1241,28.5626,87.9121,5.1192,73.8522,121.2935,33.3131,4947.0000,712.0000,99.0000,8595,5892,0.6855,2,4809.3250,18.2452,13.4503,5507.1250,16.9507,13.4359,5470.4750,13.7114,16.7903,15.9500,995.0000
7,49,5000,1900,300,0.5042,5957,453374.0000,76.1078,64.0000,33.4822,197757.4600,33.1975,19.5300,34.3054,13574450.8678,26118.0000,4.3844,5957,1965958229.6518,627048773.0813,807694.7638,27.5480,80.8704,5.1318,72.8681,113.9378,33.3064,4904.0000,756.0000,297.0000,7196,6071,0.8437,3,4764.4250,18.5171,13.0891,5497.0250,16.8999,13.2034,5460.4500,13.8035,16.6977,15.4019,804.0000
8,50,6000,1500,100,0.8188,5819,449604.0000,77.2648,64.0000,32.7380,197266.7500,33.9005,19.5600,34.2134,13497712.6113,26105.0000,4.4862,5819,1953940863.6049,623215774.4539,802369.5891,27.4790,82.8818,4.2279,72.6245,115.8324,32.8788,5004.0000,716.0000,99.0000,7595,5968,0.7858,4,4865.8250,19.1166,13.2428,5537.1000,16.9100,13.3463,5523.5750,13.8619,16.8385,15.6111,772.0000
9,51,6500,1900,300,0.6263,5926,462639.0000,78.0694,65.0000,33.8336,208334.0800,35.1559,21.0050,34.4135,14341102.5338,27015.0000,4.5587,5926,1983175564.0233,632540590.3999,815895.5374,30.1403,80.4951,5.0927,75.4177,113.6328,33.3670,4891.0000,738.0000,297.0000,8697,6047,0.6953,4,4748.7000,19.3342,13.2973,5466.0500,17.2123,13.1907,5442.5250,13.6427,16.8726,15.3469,715.0000
